   3.72314,   2.89155,   3.55349,   3.05995,   4.64916
   2.78461,   2.32815,   2.86591,   2.46787,   3.74331
   1.17648,   1.50675,   1.43584,   1.23642,   2.42261
   1.62853,   1.74450,   2.73504,   2.35517,   2.80488
   5.81331,   2.22787,   5.09540,   4.38771,   3.58207
   5.08962,   2.53182,   4.80566,   4.13821,   4.07077
   0.68790,   1.65161,   0.67423,   0.58058,   2.65552
   0.85934,   1.25550,   1.61982,   1.39484,   2.01865
   0.66718,   1.56221,   0.59381,   0.51134,   2.51179
   2.82184,   1.69622,   3.52735,   3.03744,   2.72725
   4.22114,   1.63931,   4.26711,   3.67445,   2.63575
   6.12188,   1.97534,   4.74709,   4.08777,   3.17604
   4.70950,   1.66380,   4.45547,   3.83665,   2.67513
   5.52790,   3.03073,   4.10097,   3.53139,   4.87294
   6.06519,   3.50761,   5.00975,   4.31395,   5.63968
   3.35518,   2.76865,   3.30547,   2.84638,   4.45156
   3.26288,   2.70762,   3.02871,   2.60805,   4.35342
   2.90685,   2.02377,   2.41732,   2.08158,   3.25391
   2.69921,   2.24105,   2.64158,   2.27469,   3.60325
   3.23396,   1.15438,   1.79112,   1.54235,   1.85606
   2.91746,   1.68350,   2.17909,   1.87644,   2.70681
   2.45865,   0.64933,   1.23261,   1.06141,   1.04401
   3.23245,   1.82489,   0.58376,   0.50268,   2.93414
   1.90138,   1.66026,   1.14030,   0.98193,   2.66943
   2.87666,   1.45023,   0.99130,   0.85362,   2.33175
   3.88393,   2.58127,   3.49798,   3.01215,   4.15027
   4.04520,   1.94868,   2.18144,   1.87847,   3.13317
   4.24899,   2.07389,   1.89110,   1.62845,   3.33449
   3.69573,   2.07116,   3.76555,   3.24256,   3.33009
   4.12472,   2.10624,   4.41920,   3.80542,   3.38650
   4.69999,   2.02139,   4.58974,   3.95227,   3.25007
   4.27229,   1.75485,   4.54195,   3.91113,   2.82153
   4.43152,   1.74081,   4.65377,   4.00741,   2.79894
   4.37013,   3.22335,   3.99485,   3.44001,   5.18264
   3.20605,   2.16417,   2.38785,   2.05620,   3.47965
   2.38494,   1.50598,   0.71690,   0.61733,   2.42138
   5.40421,   2.62030,   3.89136,   3.35089,   4.21304
   5.87529,   3.22662,   4.80635,   4.13881,   5.18790
   5.53685,   2.73376,   4.13713,   3.56253,   4.39546
   5.25677,   2.90738,   4.25641,   3.66524,   4.67461
   4.24820,   2.25326,   2.87876,   2.47893,   3.62289
   5.12082,   2.87390,   4.02754,   3.46816,   4.62078
   5.76941,   0.70722,   3.48152,   2.99797,   1.13710
   4.75680,   2.98686,   2.70878,   2.33256,   4.80240
   3.22342,   2.25887,   3.34554,   2.88088,   3.63192
   0.96582,   1.34628,   1.53024,   1.31771,   2.16461
   4.09964,   2.41790,   3.83632,   3.30350,   3.88760
   1.93652,   2.55780,   2.93804,   2.52998,   4.11254
   0.43053,   1.59172,   0.83551,   0.71947,   2.55924
   0.99752,   2.43720,   2.83501,   2.44126,   3.91864
   1.54906,   1.15107,   1.62411,   1.39854,   1.85074
   5.27763,   3.80168,   4.88089,   4.20299,   6.11251
   2.05470,   1.68679,   2.40395,   2.07006,   2.71210
   2.62038,   2.11859,   2.47824,   2.13404,   3.40636
   6.10762,   4.52401,   5.87245,   5.05683,   7.27389
   5.67360,   4.55638,   5.62761,   4.84599,   7.32595
   6.16754,   2.67108,   5.45110,   4.69401,   4.29467
   5.62471,   4.24127,   5.30650,   4.56949,   6.81930
   6.76122,   4.59634,   5.90501,   5.08487,   7.39020
   6.00971,   4.18363,   5.28677,   4.55250,   6.72661
   7.15599,   4.94827,   6.34110,   5.46039,   7.95605
   7.26228,   5.07468,   6.22234,   5.35813,   8.15929
   7.13967,   5.12678,   6.32624,   5.44760,   8.24306
   6.88576,   4.72582,   6.14649,   5.29281,   7.59838
   5.42280,   3.51519,   4.13224,   3.55832,   5.65187
   6.64287,   4.44815,   5.26108,   4.53038,   7.15192
   6.11421,   4.09285,   4.85241,   4.17847,   6.58066
   7.47264,   5.38033,   6.49204,   5.59037,   8.65072
   7.41806,   5.21381,   6.31164,   5.43502,   8.38298
   7.47818,   5.49229,   6.69226,   5.76278,   8.83074
   5.32235,   3.07117,   3.45460,   2.97480,   4.93796
   4.68625,   2.29981,   2.36610,   2.03747,   3.69774
   4.52105,   2.58923,   2.61989,   2.25602,   4.16308
   4.44893,   1.98975,   1.93188,   1.66356,   3.19921
   4.86455,   1.91710,   2.41117,   2.07629,   3.08240
   2.80313,   1.66037,   2.25302,   1.94010,   2.66962
   4.78977,   1.73798,   2.51763,   2.16796,   2.79439
   5.45223,   2.98605,   3.83645,   3.30361,   4.80110
   4.88245,   2.24750,   2.92056,   2.51493,   3.61362
   3.76466,   1.97783,   2.90807,   2.50417,   3.18004
   3.33276,   2.31348,   2.66303,   2.29316,   3.71972
   5.02878,   2.59183,   3.78348,   3.25800,   4.16726
   4.41604,   2.18601,   3.04719,   2.62397,   3.51476
   1.30158,   1.61667,   1.58929,   1.36855,   2.59936
   2.61221,   2.06123,   2.10553,   1.81310,   3.31414
   2.84192,   1.45243,   1.43528,   1.23593,   2.33527
